City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
78,Baoning,25.3378,110.026,100.26,few clouds,47,20,6.71,CN
79,College,64.8569,-147.8028,66.18,broken clouds,61,75,3.44,US
80,Nizwá,22.9333,57.5333,93.85,overcast clouds,33,100,3.87,OM
81,Leningradskiy,69.3833,178.4167,41.59,scattered clouds,84,38,11.32,RU
82,Batemans Bay,-35.7167,150.1833,57.09,scattered clouds,51,37,4.97,AU
83,Kahului,20.8947,-156.47,82.42,scattered clouds,72,40,8.05,US
84,New Norfolk,-42.7826,147.0587,53.71,overcast clouds,77,100,1.99,AU
85,Dryden,49.7833,-92.7503,62.89,overcast clouds,77,100,3.44,CA
86,Moosomin,50.1333,-101.6677,62.56,overcast clouds,95,96,7.36,CA
87,Bembèrèkè,10.2283,2.6634,67.95,overcast clouds,97,100,4.81,BJ
88,Cabo San Lucas,22.8909,-109.9124,84.61,scattered clouds,70,48,9.71,MX
89,Vanavara,60.34,102.2797,51.37,light rain,80,100,4.59,RU
90,Port-Cartier,50.0334,-66.8654,64.74,overcast clouds,96,100,2.55,CA
91,Kaitangata,-46.2817,169.8464,45.28,clear sky,67,10,10.09,NZ
92,Kavaratti,10.5669,72.642,80.26,overcast clouds,75,100,14.61,IN
93,Khani,41.9563,42.9566,74.77,clear sky,34,0,6.04,GE
94,São Gonçalo do Sapucaí,-21.8922,-45.5953,56.08,broken clouds,74,58,3.15,BR
95,Biak,-0.9131,122.8766,80.78,broken clouds,76,71,6.53,ID
96,Tasiilaq,65.6145,-37.6368,37.56,broken clouds,74,54,5.17,GL
97,Clyde River,70.4692,-68.5914,34.03,light rain,100,100,13.8,CA
98,Castro,-24.7911,-50.0119,48.42,scattered clouds,99,47,3.76,BR
99,Camacha,33.0833,-16.3333,69.22,broken clouds,73,75,12.66,PT
100,Naze,28.3667,129.4833,90.52,overcast clouds,72,99,8.9,JP
101,Saldanha,-33.0117,17.9442,55.45,broken clouds,94,74,13.2,ZA
102,Coulommiers,48.8145,3.085,66.58,few clouds,71,23,4.7,FR
103,Sur,22.5667,59.5289,94.62,overcast clouds,47,95,1.32,OM
104,Alyangula,-13.8483,136.4192,72.48,clear sky,51,2,19.3,AU
105,Butaritari,3.0707,172.7902,82.06,broken clouds,68,67,12.24,KI
106,Lebu,-37.6167,-73.65,47.37,broken clouds,87,70,11.88,CL
107,Lompoc,34.6391,-120.4579,59.14,mist,94,100,8.05,US
108,Zhigansk,66.7697,123.3711,53.26,overcast clouds,50,100,14.81,RU
109,Ponta do Sol,32.6667,-17.1,71.71,clear sky,78,7,4.72,PT
110,Nouadhibou,20.931,-17.0347,73.38,scattered clouds,88,31,9.22,MR
111,Nueva Gerona,21.8833,-82.8,82.92,clear sky,71,0,7.09,CU
112,Marolambo,-20.05,48.1167,67.03,scattered clouds,72,32,1.97,MG
113,Salair,54.2312,85.7972,63.9,scattered clouds,46,45,7.02,RU
114,Nikolskoye,59.7035,30.7861,73.87,scattered clouds,50,25,8.01,RU
115,Mar del Plata,-38.0023,-57.5575,49.08,fog,91,67,5.01,AR
116,Lata,40.1629,-8.3327,61.05,broken clouds,95,56,1.97,PT
117,Tual,-5.6667,132.75,78.21,light rain,86,100,21.21,ID
118,Kavieng,-2.5744,150.7967,84.09,scattered clouds,61,26,3.87,PG
119,Torbay,47.6666,-52.7314,63.75,light rain,94,100,20.71,CA
120,Sorong,-0.8833,131.25,82.92,broken clouds,70,79,5.12,ID
121,Mastic Beach,40.7668,-72.8521,74.21,clear sky,81,0,5.99,US
122,Usinsk,65.9939,57.5281,65.25,overcast clouds,46,100,20.67,RU
123,Salta,-24.7859,-65.4117,46.99,clear sky,46,0,5.75,AR
124,Qasigiannguit,68.8193,-51.1922,46.65,overcast clouds,74,86,8.43,GL
125,Ust'-Omchug,61.15,149.6333,50.49,light rain,88,100,12.84,RU
126,Roscrea,52.9511,-7.8017,54.79,overcast clouds,95,100,4.38,IE
127,Qaanaaq,77.484,-69.3632,32.61,few clouds,58,12,7.31,GL
128,Bagratashen,41.2436,44.8174,73.8,clear sky,37,7,4.81,AM
129,Pacifica,37.6138,-122.4869,64.22,mist,91,20,13.0,US
130,Filingué,14.3521,3.3168,76.35,light rain,80,99,14.7,NE
131,Forsytheganj,52.6333,29.7333,73.11,scattered clouds,33,48,8.97,BY
132,Constantine,36.365,6.6147,63.81,clear sky,72,0,2.3,DZ
133,Parāsia,22.2,78.7667,79.72,overcast clouds,72,100,6.58,IN
134,Oranjemund,-28.55,16.4333,58.59,clear sky,61,4,2.48,NA
135,Kostyantynivka,48.5277,37.7069,81.72,clear sky,21,0,20.74,UA
136,Khasan,42.4308,130.6434,73.13,overcast clouds,55,85,10.0,RU
137,Lüderitz,-26.6481,15.1594,60.15,clear sky,55,0,1.14,NA
138,Port Macquarie,-31.4333,152.9167,63.9,broken clouds,50,57,15.32,AU
139,Upernavik,72.7868,-56.1549,41.18,overcast clouds,89,99,38.45,GL
140,Chiang Khong,20.2613,100.4046,94.68,broken clouds,47,70,3.62,TH
141,Shelburne,44.0787,-80.2041,61.75,clear sky,91,1,6.89,CA
142,Ribeira Grande,38.5167,-28.7,72.23,light rain,81,100,8.88,PT
143,Coquimbo,-29.9533,-71.3436,49.73,scattered clouds,100,38,1.14,CL
144,Mossamedes,-15.1961,12.1522,61.81,scattered clouds,85,25,7.92,AO
145,Hay River,60.8156,-115.7999,66.18,smoke,63,75,12.66,CA
146,Samarai,-10.6167,150.6667,81.95,overcast clouds,75,93,10.98,PG
147,Airai,-8.9266,125.4092,72.03,scattered clouds,47,32,5.59,TL
148,Eureka,40.8021,-124.1637,65.68,overcast clouds,94,94,1.01,US
149,Hithadhoo,-0.6,73.0833,82.11,scattered clouds,72,25,11.7,MV
150,Monte Santo,-10.4378,-39.3328,63.18,broken clouds,95,74,6.46,BR
151,Sørland,67.667,12.6934,53.46,broken clouds,73,84,12.57,NO
152,Port-Gentil,-0.7193,8.7815,73.36,broken clouds,94,75,3.44,GA
153,Tilichiki,60.4667,166.1,52.23,overcast clouds,89,100,6.06,RU
154,Gondanglegi,-7.7479,112.0132,90.91,overcast clouds,40,96,4.76,ID
155,Atambua,-9.1061,124.8925,82.6,few clouds,47,24,1.72,ID
156,Balingasay,16.3573,119.8564,81.59,moderate rain,81,100,21.09,PH
157,Port Blair,11.6667,92.75,87.84,scattered clouds,70,40,8.05,IN
158,Inhambane,-23.865,35.3833,67.98,scattered clouds,94,40,4.61,MZ
159,Hobart,-42.8794,147.3294,54.05,overcast clouds,81,100,5.86,AU
160,Tuktoyaktuk,69.4541,-133.0374,53.6,overcast clouds,76,100,12.66,CA
161,Aitape,-3.1374,142.3475,85.48,overcast clouds,66,88,7.65,PG
162,Korla,41.7597,86.1469,84.11,scattered clouds,22,48,11.81,CN
163,Lampazos de Naranjo,27.0167,-100.5167,81.63,overcast clouds,66,96,5.73,MX
164,Hannibal,39.7084,-91.3585,70.7,few clouds,85,15,4.68,US
165,Mehamn,71.0357,27.8492,48.11,scattered clouds,76,40,19.57,NO
166,Ordubad,38.9059,46.0234,77.07,clear sky,22,0,9.57,AZ
167,Baykit,61.67,96.37,52.74,overcast clouds,92,100,4.21,RU
168,Kailua,21.4022,-157.7394,82.38,scattered clouds,85,32,1.99,US
169,Pevek,69.7008,170.3133,47.37,overcast clouds,82,100,7.58,RU
170,Christchurch,-43.5333,172.6333,56.95,broken clouds,66,75,8.05,NZ
171,Tiznit Province,29.5833,-9.5,74.75,overcast clouds,57,95,1.28,MA
172,Buraidah,26.326,43.975,86.45,clear sky,12,5,13.22,SA
173,Portland,45.5234,-122.6762,75.78,scattered clouds,66,40,10.36,US
174,Tiksi,71.6872,128.8694,46.2,overcast clouds,64,93,2.75,RU
175,Bethel,41.3712,-73.414,71.91,clear sky,84,0,5.75,US
176,Yulara,-25.2406,130.9889,64.85,clear sky,19,0,17.56,AU
177,Bullas,38.0467,-1.6723,67.35,clear sky,76,10,1.34,ES
178,George Town,5.4112,100.3354,84.15,few clouds,81,20,16.11,MY
179,Sendafa,9.15,39.0333,58.35,light rain,92,98,2.55,ET
180,Santa Luzia,-19.7697,-43.8514,63.5,clear sky,72,0,5.75,BR
181,Souillac,-20.5167,57.5167,73.78,light rain,49,75,11.5,MU
182,Tsiroanomandidy,-18.7667,46.0333,70.07,clear sky,41,1,8.81,MG
183,Demmin,53.9076,13.0314,57.58,scattered clouds,82,31,5.77,DE
184,Moussoro,13.6408,16.4901,71.46,moderate rain,84,100,17.85,TD
185,Aklavik,68.2191,-135.0107,54.61,overcast clouds,77,100,8.46,CA
186,Yangi Marg`ilon,40.4272,71.7189,83.12,few clouds,20,16,2.3,UZ
187,Fortuna,40.5982,-124.1573,59.34,broken clouds,93,84,2.55,US
188,Port Hardy,50.6996,-127.4199,57.38,scattered clouds,94,40,6.91,CA
189,Vélingara,13.15,-14.1167,73.94,overcast clouds,98,100,5.14,SN
190,Northam,51.0333,-4.2167,64.38,overcast clouds,96,98,5.39,GB
191,Mahébourg,-20.4081,57.7,73.69,broken clouds,49,75,11.5,MU
192,Takoradze,4.8845,-1.7554,73.45,overcast clouds,89,100,6.53,GH
193,Grand-Lahou,5.1367,-5.0242,73.71,light rain,91,99,7.34,CI
194,Lima,-12.0432,-77.0282,58.89,overcast clouds,85,100,9.22,PE
195,Broken Hill,-31.95,141.4333,57.67,clear sky,38,7,14.81,AU
196,Innisfail,-17.5333,146.0333,72.48,clear sky,52,0,12.21,AU
197,Hwange,-18.3693,26.5019,64.44,clear sky,40,0,4.52,ZW
198,Kuril'sk,45.2333,147.8833,61.83,few clouds,84,11,14.14,RU
199,Mata,40.683,-7.4592,67.51,broken clouds,61,55,2.44,PT
200,Inongo,-1.95,18.2667,68.09,broken clouds,89,58,3.91,CD
201,‘Ewa Beach,21.3156,-158.0072,82.35,scattered clouds,73,40,5.75,US
202,Kīhei,20.785,-156.4656,82.42,scattered clouds,78,40,8.05,US
203,Kem',64.9555,34.5793,60.71,overcast clouds,58,100,3.44,RU
204,Yarmouth,41.7057,-70.2286,75.0,overcast clouds,96,100,5.75,US
205,Mackenzie,55.2999,-123.1698,66.42,clear sky,77,0,2.3,CA
206,Lagos,6.5833,3.75,75.52,light rain,95,99,2.51,NG
207,Arlit,18.7369,7.3853,86.18,scattered clouds,46,50,11.86,NE
208,Puerto Peñasco,31.3167,-113.5333,87.91,clear sky,79,4,3.0,MX
209,Dikson,73.5069,80.5464,42.26,overcast clouds,99,100,15.95,RU
210,Riyadh,24.6877,46.7219,96.94,clear sky,13,10,7.72,SA
211,Anadyr,64.75,177.4833,55.9,few clouds,71,20,8.95,RU
212,Omboué,-1.5746,9.2618,72.34,scattered clouds,83,42,4.52,GA
213,Gamba,-2.65,10.0,70.9,clear sky,84,7,1.77,GA
214,Sumbe,-11.2061,13.8437,67.66,scattered clouds,92,25,2.89,AO
215,Lakes Entrance,-37.8811,147.981,57.16,overcast clouds,63,100,15.99,AU
216,Bitung,1.4451,125.1824,90.45,scattered clouds,69,47,11.03,ID
217,Wakefield,53.6809,-1.499,67.5,overcast clouds,85,89,7.4,GB
218,Camocim,-2.9022,-40.8411,77.09,broken clouds,76,65,12.73,BR
219,Progreso,21.2833,-89.6667,77.11,broken clouds,84,52,8.5,MX
220,Ishigaki,24.3448,124.1572,93.33,broken clouds,66,75,14.97,JP
221,Hannō,35.8519,139.3181,90.79,light intensity drizzle,61,75,10.36,JP
222,Hammerfest,70.6634,23.6821,48.65,broken clouds,93,75,6.91,NO
223,San Patricio,28.017,-97.5169,84.88,overcast clouds,77,97,8.34,US
224,Son La,21.3167,103.9,86.67,scattered clouds,67,49,0.74,VN
225,Parry Sound,45.3501,-80.033,71.51,few clouds,88,20,2.42,CA
226,Kerman,30.2832,57.0788,73.26,clear sky,15,0,0.0,IR
227,Kudahuvadhoo,2.6708,72.8944,81.25,overcast clouds,76,97,9.75,MV
228,Iqaluit,63.7506,-68.5145,42.53,light rain,93,100,13.8,CA
229,Kruisfontein,-34.0033,24.7314,61.88,clear sky,30,2,14.38,ZA
230,Skibbereen,51.55,-9.2667,57.11,overcast clouds,84,100,8.41,IE
231,Umluj,25.0213,37.2685,97.21,few clouds,23,22,16.42,SA
232,Mocajuba,-2.5842,-49.5072,70.66,overcast clouds,97,97,1.16,BR
233,Natalio,-26.7167,-55.0833,58.91,few clouds,95,16,3.13,PY
234,Quatre Cocos,-20.2078,57.7625,73.51,broken clouds,66,84,17.72,MU
235,Smithers,54.7804,-127.1743,66.52,few clouds,82,20,2.3,CA
236,Tefé,-3.3542,-64.7114,76.39,overcast clouds,65,86,2.89,BR
237,Vao,-22.6667,167.4833,73.04,clear sky,74,0,16.04,NC
238,Kumul,42.8,93.45,85.64,scattered clouds,12,27,6.78,CN
239,Robertsport,6.7533,-11.3686,75.65,moderate rain,90,100,17.2,LR
240,Puerto Limón,10.0,-83.0333,75.06,overcast clouds,83,98,5.32,CR
241,Saint-Pierre,-21.3393,55.4781,76.28,clear sky,61,0,24.16,RE
242,Buala,-8.145,159.5921,80.26,light rain,80,100,10.0,SB
243,Suntar,62.1444,117.6319,49.06,overcast clouds,73,100,6.46,RU
244,Hongjiang,27.11,109.9956,96.03,broken clouds,49,67,4.45,CN
245,Olafsvik,64.8945,-23.7142,47.39,overcast clouds,80,91,16.6,IS
246,Saint Paul Harbor,57.79,-152.4072,54.91,moderate rain,94,100,13.8,US
247,Alice Springs,-23.7,133.8833,62.15,clear sky,26,0,17.27,AU
248,Oddur,4.1213,43.8894,74.79,overcast clouds,64,96,22.46,SO
249,Desbiens,48.4178,-71.9495,65.05,scattered clouds,91,42,5.32,CA
250,Kiryat Gat,31.61,34.7642,82.4,clear sky,100,0,1.36,IL
251,Mabaruma,8.2,-59.7833,70.99,overcast clouds,99,92,3.6,GY
252,Quelimane,-17.8786,36.8883,62.55,broken clouds,94,75,2.3,MZ
253,Lacolle,45.0834,-73.3659,69.08,overcast clouds,97,85,5.57,CA
254,Kwekwe,-18.9281,29.8149,58.35,broken clouds,57,79,9.66,ZW
255,Mount Gambier,-37.8333,140.7667,51.71,broken clouds,93,75,19.57,AU
256,Puerto Escondido,15.85,-97.0667,79.97,broken clouds,83,55,4.99,MX
257,Fort Nelson,58.8053,-122.7002,67.59,scattered clouds,83,40,2.3,CA
258,Albanel,48.8832,-72.4487,64.54,broken clouds,94,52,5.75,CA
259,Zyryanka,65.75,150.85,47.39,light rain,92,100,13.2,RU
260,Ojinaga,29.5667,-104.4167,70.75,clear sky,100,0,0.0,MX
261,Khatanga,71.9667,102.5,45.86,overcast clouds,72,100,9.13,RU
262,Byron Bay,-28.65,153.6167,66.7,clear sky,47,3,10.51,AU
263,Halifax,44.6453,-63.5724,69.8,overcast clouds,96,100,8.05,CA
264,Mitchell,43.7094,-98.0298,75.18,clear sky,67,0,4.61,US
265,Kaitong,44.8135,123.15,77.68,broken clouds,35,54,10.0,CN
266,Kangaatsiaq,68.3065,-53.4641,41.41,overcast clouds,81,86,18.34,GL
267,Linares,-35.85,-71.6,47.01,overcast clouds,94,98,4.47,CL
268,Alofi,-19.0595,-169.9187,75.09,clear sky,83,8,5.75,NU
269,Vardø,70.3705,31.1107,49.98,broken clouds,71,75,19.57,NO
270,Russell,32.3502,-85.1999,74.8,clear sky,100,0,0.0,US
271,Vestmannaeyjar,63.4427,-20.2734,49.71,overcast clouds,88,86,5.03,IS
272,Scarborough,54.2797,-0.4044,64.78,overcast clouds,85,89,3.0,GB
273,Santa Leopoldina,-20.1006,-40.5297,64.62,clear sky,93,8,3.15,BR
274,São Miguel do Araguaia,-13.275,-50.1628,72.32,clear sky,38,4,4.68,BR
275,Port Elizabeth,-33.918,25.5701,67.32,clear sky,56,0,5.75,ZA
276,Yumen,40.2833,97.2,81.0,broken clouds,31,84,15.32,CN
277,Bundaberg,-24.85,152.35,68.22,clear sky,36,0,8.01,AU
278,Damphu,27.0721,90.1096,85.06,clear sky,62,9,6.26,BT
279,Uvalde,29.3669,-99.767,77.14,clear sky,66,0,0.0,US
280,Virginia Beach,36.8529,-75.978,75.27,mist,96,75,0.0,US
281,Fallon,39.4735,-118.7774,75.07,clear sky,25,0,5.75,US
282,Dicabisagan,17.0818,122.4157,85.32,overcast clouds,74,100,14.58,PH
283,Vakhtan,57.9659,46.6889,76.8,broken clouds,49,65,4.45,RU
284,Geraldton,-28.7667,114.6,70.21,broken clouds,35,58,11.5,AU
285,Benemérito de las Américas,16.5167,-90.6439,71.49,overcast clouds,99,95,0.13,MX
286,Tengzhou,35.0771,117.1518,82.85,broken clouds,36,67,2.75,CN
287,Sirte,31.2089,16.5887,81.18,clear sky,64,0,8.57,LY
288,Huarmey,-10.0681,-78.1522,61.52,few clouds,86,14,6.89,PE
289,Florianópolis,-27.6146,-48.5012,63.41,broken clouds,95,75,4.61,BR
290,Coahuayana Viejo,18.7333,-103.6833,78.78,overcast clouds,86,99,1.48,MX
291,Flinders,-34.5833,150.8552,61.05,few clouds,49,17,7.74,AU
292,Whitehorse,60.7161,-135.0538,63.37,broken clouds,55,75,12.66,CA
293,Arraial do Cabo,-22.9661,-42.0278,67.66,broken clouds,87,83,13.0,BR
294,Malindi,-3.2175,40.1191,77.16,scattered clouds,73,40,5.75,KE
295,Arrifes,37.7667,-25.7,68.23,few clouds,77,20,3.44,PT
296,Hirara,24.8,125.2833,89.87,broken clouds,74,75,13.8,JP
297,Ayagoz,47.9714,80.4392,70.83,clear sky,29,0,14.67,KZ
298,Mollendo,-17.0231,-72.0147,57.4,overcast clouds,87,99,6.6,PE
299,Hambantota,6.1241,81.1185,88.14,light rain,66,40,13.8,LK
300,Anchorage,61.2181,-149.9003,59.65,light rain,84,100,3.44,US
301,Faya,18.3851,42.4509,75.72,scattered clouds,24,44,7.43,SA
302,Brae,60.3964,-1.353,58.6,overcast clouds,92,86,11.65,GB
303,Tomatlán,19.9333,-105.25,74.93,overcast clouds,95,100,3.06,MX
304,Banjar,-8.19,114.9675,85.87,scattered clouds,57,50,3.29,ID
305,Thompson,55.7435,-97.8558,37.56,clear sky,81,0,2.3,CA
306,Lagoa,39.05,-27.9833,72.07,light rain,78,100,4.16,PT
307,Carnarvon,-24.8667,113.6333,77.07,scattered clouds,28,42,3.33,AU
308,Tahara,34.6667,137.2667,89.55,scattered clouds,62,39,8.08,JP
309,Iguape,-24.7081,-47.5553,61.43,scattered clouds,94,26,1.95,BR
310,Juegang,32.3174,121.1855,80.98,scattered clouds,58,37,10.87,CN
311,Ancud,-41.8697,-73.8203,39.22,broken clouds,78,64,0.34,CL
312,Ukiah,39.1502,-123.2078,75.09,clear sky,63,0,0.0,US
313,Dhāna,23.75,78.85,80.76,overcast clouds,74,99,10.83,IN
314,Cidreira,-30.1811,-50.2056,59.43,overcast clouds,94,93,12.75,BR
315,Mareeba,-17.0,145.4333,81.45,clear sky,43,0,8.41,AU
316,Dagana,16.5165,-15.5068,80.33,broken clouds,75,74,14.72,MR
317,Maragogi,-9.0122,-35.2225,72.61,broken clouds,83,65,11.05,BR
318,Kaabong,3.4836,34.1492,65.66,overcast clouds,69,89,8.72,UG
319,Ardakān,32.31,54.0175,81.72,clear sky,12,0,12.91,IR
320,Cherskiy,68.75,161.3,64.99,overcast clouds,52,90,2.51,RU
321,Ahipara,-35.1667,173.1667,56.19,overcast clouds,74,100,5.7,NZ
322,Hasaki,35.7333,140.8333,82.8,broken clouds,83,67,16.87,JP
323,Sechura,-5.5569,-80.8222,63.48,scattered clouds,82,27,8.19,PE
324,Pisco,-13.7,-76.2167,55.45,mist,88,20,2.3,PE
325,Baijiantan,45.6333,85.1833,79.57,clear sky,17,0,3.8,CN
326,Pemberton,50.3164,-122.8027,70.5,broken clouds,78,72,0.74,CA
327,Saint George,37.1041,-113.5841,90.19,clear sky,29,0,9.22,US
328,Channarāyapatna,12.9044,76.3917,79.61,overcast clouds,61,95,11.27,IN
329,Kashary,49.04,41.0056,82.76,clear sky,19,0,18.84,RU
330,Chapais,49.7834,-74.8492,58.78,broken clouds,75,68,4.94,CA
331,Radolfzell,47.7333,8.9667,62.67,broken clouds,88,51,1.72,DE
332,Tibati,6.4667,12.6333,65.41,light rain,98,100,0.81,CM
333,Broome,42.2506,-75.833,66.2,clear sky,90,0,4.61,US
334,Tommot,58.9564,126.2925,54.95,light rain,69,90,7.83,RU
335,Rundu,-17.9333,19.7667,57.81,clear sky,35,0,5.17,NA
336,Coxim,-18.5067,-54.76,71.85,broken clouds,42,77,7.85,BR
337,Fukuechō,32.6881,128.8419,84.56,broken clouds,89,75,4.61,JP
338,Ampanihy,-24.7,44.75,73.85,clear sky,44,0,12.97,MG
339,East Bethel,45.3194,-93.2025,72.23,clear sky,86,0,0.0,US
340,Chifeng,42.2683,118.9636,78.3,scattered clouds,26,37,8.01,CN
341,Lubango,-14.9172,13.4925,58.59,clear sky,26,5,4.7,AO
342,Olinda,-8.0089,-34.8553,76.73,broken clouds,69,75,17.27,BR
343,Tevaitoa,-16.7833,-151.5,76.87,light rain,77,27,11.7,PF
344,Istok,42.7808,20.4875,65.1,overcast clouds,83,85,1.66,XK
345,Kyra,49.5776,111.9753,55.22,broken clouds,47,69,21.3,RU
346,Moree,-29.4667,149.85,58.08,clear sky,40,1,17.96,AU
347,São João da Barra,-21.6403,-41.0511,68.13,scattered clouds,87,43,1.63,BR
348,Okhotsk,59.3833,143.3,62.37,overcast clouds,65,100,10.69,RU
